S1Kbym7WYzs	https://www.youtube.com/watch?v=S1Kbym7WYzs	2012 (2009) - Yellowstone Erupts Scene (4/10) | Movieclips	2009	2012
Nz15PudXkXM	https://www.youtube.com/watch?v=Nz15PudXkXM	The Ghost with the Most - Beetlejuice (7/9) Movie CLIP (1988) HD	1988	 Beetlejuice
DomJHvbM7qE	https://www.youtube.com/watch?v=DomJHvbM7qE	(500) Days of Summer (1/5) Movie CLIP - Copy Room Kiss (2009) HD	2009	(500) Days of Summer
ARoB1nWPsxo	https://www.youtube.com/watch?v=ARoB1nWPsxo	(500) Days of Summer (2/5) Movie CLIP - Playing House (2009) HD	2009	(500) Days of Summer
4rGia6hIWmk	https://www.youtube.com/watch?v=4rGia6hIWmk	(500) Days of Summer (3/5) Movie CLIP - I Love Us (2009) HD	2009	(500) Days of Summer
-fL94BTrFhs	https://www.youtube.com/watch?v=-fL94BTrFhs	(500) Days of Summer (4/5) Movie CLIP - Expectations vs. Reality (2009) HD	2009	(500) Days of Summer
bBLKvPSgQ2A	https://www.youtube.com/watch?v=bBLKvPSgQ2A	(500) Days of Summer (5/5) Movie CLIP - All That True Love Nonsense (2009) HD	2009	(500) Days of Summer
DoKxkx0bYRk	https://www.youtube.com/watch?v=DoKxkx0bYRk	10,000 BC (1/10) Movie CLIP - The Mammoth Hunt (2008) HD	2008	10,000 BC
c-NDI-HvYd4	https://www.youtube.com/watch?v=c-NDI-HvYd4	10,000 BC (10/10) Movie CLIP - You Will Not Have Her (2008) HD	2008	10,000 BC
wJJDM675Ypw	https://www.youtube.com/watch?v=wJJDM675Ypw	10,000 BC (2/10) Movie CLIP - Killing the Mammoth (2008) HD	2008	10,000 BC
k3yUlJtCkJg	https://www.youtube.com/watch?v=k3yUlJtCkJg	10,000 BC (3/10) Movie CLIP - Terror Bird Attack (2008) HD	2008	10,000 BC
4NKk7BYl0Rk	https://www.youtube.com/watch?v=4NKk7BYl0Rk	10,000 BC (4/10) Movie CLIP - The Sabretooth Tiger (2008) HD	2008	10,000 BC
EzqRc-RLJfU	https://www.youtube.com/watch?v=EzqRc-RLJfU	10,000 BC (5/10) Movie CLIP - Sacrifice One (2008) HD	2008	10,000 BC
lYxVM8oNxRM	https://www.youtube.com/watch?v=lYxVM8oNxRM	10,000 BC (6/10) Movie CLIP - Take the Spear (2008) HD	2008	10,000 BC
zGrIGZifpwg	https://www.youtube.com/watch?v=zGrIGZifpwg	10,000 BC (7/10) Movie CLIP - We Hunt Together (2008) HD	2008	10,000 BC
mVzdHEhC8YI	https://www.youtube.com/watch?v=mVzdHEhC8YI	10,000 BC (8/10) Movie CLIP - Mammoth Stampede (2008) HD	2008	10,000 BC
SRlmBs7EwMk	https://www.youtube.com/watch?v=SRlmBs7EwMk	10,000 BC (9/10) Movie CLIP - He is Not a God (2008) HD	2008	10,000 BC
wWpNqaKrq8o	https://www.youtube.com/watch?v=wWpNqaKrq8o	100 Million BC (2008) - Cretaceous Search and Rescue Scene (1/10) | Movieclips	2008	100 Million BC
gtmmKXgSUwo	https://www.youtube.com/watch?v=gtmmKXgSUwo	100 Million BC (2008) - Dino Trap Fail Scene (9/10) | Movieclips	2008	100 Million BC
vdwWjsJLaJQ	https://www.youtube.com/watch?v=vdwWjsJLaJQ	100 Million BC (2008) - Extinct Again Scene (10/10) | Movieclips	2008	100 Million BC
6GEll0BI7ko	https://www.youtube.com/watch?v=6GEll0BI7ko	100 Million BC (2008) - Harmless or Hostile? Scene (2/10) | Movieclips	2008	100 Million BC
0I8xeAEpb8E	https://www.youtube.com/watch?v=0I8xeAEpb8E	100 Million BC (2008) - Leave Me Scene (4/10) | Movieclips	2008	100 Million BC
aViOusNEtoU	https://www.youtube.com/watch?v=aViOusNEtoU	100 Million BC (2008) - Portal to the 21st Century Scene (6/10) | Movieclips	2008	100 Million BC
nDrjVVyUjZo	https://www.youtube.com/watch?v=nDrjVVyUjZo	100 Million BC (2008) - Pterodactyl Trouble Scene (5/10) | Movieclips	2008	100 Million BC
sSLdFuRVlmc	https://www.youtube.com/watch?v=sSLdFuRVlmc	100 Million BC (2008) - Strange Saviors Scene (3/10) | Movieclips	2008	100 Million BC
B1uklxoaP24	https://www.youtube.com/watch?v=B1uklxoaP24	100 Million BC (2008) - Time Traveling T-Rex Scene (7/10) | Movieclips	2008	100 Million BC
fN0w62AurJA	https://www.youtube.com/watch?v=fN0w62AurJA	100 Million BC (2008) - Tyrannosaurus on the Loose Scene (8/10) | Movieclips	2008	100 Million BC
46kWbFAMHoc	https://www.youtube.com/watch?v=46kWbFAMHoc	12 Angry Men (1/10) Movie CLIP - Kids These Days (1957) HD	1957	12 Angry Men
0jxVnlRdelU	https://www.youtube.com/watch?v=0jxVnlRdelU	12 Angry Men (10/10) Movie CLIP - Not Guilty (1957) HD	1957	12 Angry Men
TUzp2XUhskY	https://www.youtube.com/watch?v=TUzp2XUhskY	12 Angry Men (2/10) Movie CLIP - It's the Same Knife! (1957) HD	1957	12 Angry Men
EqDd06GW76o	https://www.youtube.com/watch?v=EqDd06GW76o	12 Angry Men (3/10) Movie CLIP - Who Changed Their Vote? (1957) HD	1957	12 Angry Men
H-xjMjmrdl0	https://www.youtube.com/watch?v=H-xjMjmrdl0	12 Angry Men (4/10) Movie CLIP - This Isn't a Game (1957) HD	1957	12 Angry Men
1fsFQ2gF4oE	https://www.youtube.com/watch?v=1fsFQ2gF4oE	12 Angry Men (5/10) Movie CLIP - Re-enactment (1957) HD	1957	12 Angry Men
5s8dYeDZPAE	https://www.youtube.com/watch?v=5s8dYeDZPAE	12 Angry Men (6/10) Movie CLIP - A Responsibility (1957) HD	1957	12 Angry Men
U44_sEUJROI	https://www.youtube.com/watch?v=U44_sEUJROI	12 Angry Men (7/10) Movie CLIP - Down & In (1957) HD	1957	12 Angry Men
TXlHKTPfLVA	https://www.youtube.com/watch?v=TXlHKTPfLVA	12 Angry Men (8/10) Movie CLIP - These People (1957) HD	1957	12 Angry Men
RGF6Qyvz2no	https://www.youtube.com/watch?v=RGF6Qyvz2no	12 Angry Men (9/10) Movie CLIP - Nose Marks (1957) HD	1957	12 Angry Men
euCWQcrBwPY	https://www.youtube.com/watch?v=euCWQcrBwPY	12 Rounds 3: Lockdown (2015) - Bullet Soaked Sedan Scene (1/5) | Movieclips	2015	12 Rounds 3: Lockdown
8PALGqaFoFI	https://www.youtube.com/watch?v=8PALGqaFoFI	12 Rounds 3: Lockdown (2015) - Firing Policy Scene (2/5) | Movieclips	2015	12 Rounds 3: Lockdown
sPlsA3_6hB8	https://www.youtube.com/watch?v=sPlsA3_6hB8	12 Rounds 3: Lockdown (2015) - Hard Wired Scene (3/5) | Movieclips	2015	12 Rounds 3: Lockdown
ZdhLQ1toP9s	https://www.youtube.com/watch?v=ZdhLQ1toP9s	12 Rounds 3: Lockdown (2015) - I Don't Play Nice Scene (5/5) | Movieclips	2015	12 Rounds 3: Lockdown
AQpPxTYahZo	https://www.youtube.com/watch?v=AQpPxTYahZo	12 Rounds 3: Lockdown (2015) - Rookie Mistake Scene (4/5) | Movieclips	2015	12 Rounds 3: Lockdown
